,business_operator,detail_url,street_number,street,total_outstanding,total_units,geo_local_area,lat,long,zoning_classification,current_land_value,year_built
64867,ThePorter Residences Development Limited Partnership,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2333&street=MAIN%20STREET,2333,MAIN ST,1,8,Mount Pleasant,49.26410701,-123.10141534,Commercial,7787000.0,1910
67037,4355 Main Street Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4355&street=MAIN%20STREET,4355,MAIN ST,2,6,Riley Park,49.24654638,-123.10159793,Commercial,3018000.0,1978
67945,Li-Wah Ng & Sik-Wah Ng,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4515&street=MAIN%20STREET,4515,MAIN ST,4,7,Riley Park,49.2442134,-123.10170576,Commercial,4361000.0,1994
68351,Monarch Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8643&street=MONTCALM%20STREET,8643,MONTCALM ST,2,20,Marpole,49.2079893,-123.13661557,Residential,3699000.0,1961
68519,Metro Maywood Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8938&street=MONTCALM%20STREET,8938,MONTCALM ST,13,20,Marpole,49.20422785,-123.1363222,Residential,4214000.0,1968
68682,675000 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8770&street=MONTCALM%20STREET,8770,MONTCALM ST,1,21,Marpole,49.20601088,-123.13580277,Residential,4932000.0,1963
68922,8860 Montcalm Street Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8860&street=MONTCALM%20STREET,8860,MONTCALM ST,1,24,Marpole,49.20514234,-123.13585114,Residential,4932000.0,1964
69606,Frank Chi-Hung Lee (Frank Lee),http://app.vancouver.ca/RPS_Net/Default.aspx?num=1747&street=NANAIMO%20STREET,1747,NANAIMO ST,4,5,Grandview-Woodland,49.26892851,-123.0570091,Commercial,2670000.0,1987
70354,Itziar Management Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1424&street=NELSON%20STREET,1424,NELSON ST,4,139,West End,49.28585517,-123.13381107,Residential,14784000.0,1969
70781,Westwood Apartment Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1873&street=NELSON%20STREET,1873,NELSON ST,11,42,West End,49.29031051,-123.13954106,Residential,4928000.0,1962
71955,1294668 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1955&street=NELSON%20STREET,1955,NELSON ST,1,11,West End,49.29107188,-123.140712,Residential,4928000.0,1940
72175,1260 Nelson Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1260&street=NELSON%20STREET,1260,NELSON ST,1,107,West End,49.28444947,-123.13165589,Residential,27105000.0,1970
73543,Westsea Construction Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1644&street=NELSON%20STREET,1644,NELSON ST,4,276,West End,49.28752662,-123.13638973,Residential,32496000.0,1975
74067,Shelmarjay Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1735&street=NELSON%20STREET,1735,NELSON ST,1,62,West End,49.28890757,-123.13737457,Residential,10842000.0,1969
75512,Plan A-1925 Nelson St Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1925&street=NELSON%20STREET,1925,NELSON ST,7,21,West End,49.29081824,-123.14032429,Residential,4928000.0,1956
76483,V A B 19930 Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1093&street=NICOLA%20STREET,1093,NICOLA ST,1,6,West End,49.28575347,-123.13596472,Residential,2947000.0,1935
76622,HWP 852 Nicola Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=852&street=NICOLA%20STREET,852,NICOLA ST,1,16,West End,49.28795926,-123.1317802,Residential,2688000.0,1913
76937,Dranly Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1250&street=NICOLA%20STREET,1250,NICOLA ST,3,26,West End,49.28379391,-123.13806622,Residential,6570000.0,1955
77159,Kenson Investments Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3030&street=OAK%20STREET,3030,OAK ST,1,20,Fairview,49.25844582,-123.12650305,Residential,5220000.0,1969
77713,British Columbia Easter Seal Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3981&street=OAK%20STREET,3981,OAK ST,5,49,Shaughnessy,49.25015411,-123.12801316,Commercial,9361000.0,1984
78680,Kwong L Tung & Mary L Tung,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2596&street=OAK%20STREET,2596,OAK ST,2,11,Fairview,49.26268095,-123.12636424,Residential,2160000.0,1958
79218,Golden Pacific Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2925&street=OAK%20STREET,2925,OAK ST,1,7,Fairview,49.25937264,-123.12702896,Residential,2160000.0,1927
79417,473788 B C Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3108&street=OAK%20STREET,3108,OAK ST,5,22,Fairview,49.25762375,-123.12682456,Commercial,14511000.0,1920
80014,Ronald J Schuss Et Al (Ronald Schuss),http://app.vancouver.ca/RPS_Net/Default.aspx?num=3411&street=OAK%20STREET,3411,OAK ST,4,15,Shaughnessy,49.25515397,-123.12773313,Residential,2737000.0,1930
81108,William Squibb,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1862&street=PARKER%20STREET,1862,PARKER ST,4,5,Grandview-Woodland,49.27546075,-123.0661524,Residential,1937000.0,1909
81435,Coast Foundation Society (1974),http://app.vancouver.ca/RPS_Net/Default.aspx?num=1188&street=PENDRELL%20STREET,1188,PENDRELL ST,1,31,West End,49.28215354,-123.13218028,Residential,1.0,1997
81650,Pendrell 1325 Enterprises Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1325&street=PENDRELL%20STREET,1325,PENDRELL ST,2,20,West End,49.28393673,-123.13398928,Residential,4928000.0,1927
82081,Thomas Downie Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1445&street=PENDRELL%20STREET,1445,PENDRELL ST,1,43,West End,49.28508111,-123.13576132,Residential,4928000.0,1964
82739,Plan A - 1168 Pendrell St Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1168&street=PENDRELL%20STREET,1168,PENDRELL ST,1,28,West End,49.28190481,-123.13200871,Residential,4928000.0,2021
83261,Pendrellis Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1254&street=PENDRELL%20STREET,1254,PENDRELL ST,1,87,West End,49.28280452,-123.13344925,Residential,13552000.0,1972
83323,Elisabeth Yee,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1775&street=PENDRELL%20STREET,1775,PENDRELL ST,7,19,West End,49.28788565,-123.14008539,Residential,4928000.0,1953
83739,West Broadway Centre Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2527&street=PINE%20STREET,2527,PINE ST,4,51,Fairview,49.26337957,-123.14426461,Commercial,16413000.0,2000
84428,0781178 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=316&street=POWELL%20STREET,316,POWELL ST,16,79,Strathcona,49.28288165,-123.09719122,Historical Area,345000.0,2009
85090,Atira Women's Resource Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1516&street=POWELL%20STREET,1516,POWELL ST,7,101,Grandview-Woodland,49.28298396,-123.07335302,Industrial,3307000.0,1905
86546,Trasolini & Eng Construction Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=854&street=RENFREW%20STREET,854,RENFREW ST,1,5,Hastings-Sunrise,49.27692078,-123.04364122,Commercial,3811000.0,1976
86828,1011 Richelieu Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1011&street=RICHELIEU%20AVENUE,1011,RICHELIEU AVE,1,6,Shaughnessy,49.25617319,-123.12768975,Residential,2869000.0,1929
87452,DVP Holdings Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1208&street=SALSBURY%20DRIVE,1208,SALSBURY DR,3,5,Grandview-Woodland,49.273649,-123.0672662,Residential,2272000.0,1905
87506,629623 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1100&street=SALSBURY%20DRIVE,1100,SALSBURY DR,2,12,Grandview-Woodland,49.27456794,-123.0671286,Residential,5811000.0,1910
87671,Maicaic Enterprise Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8623&street=SELKIRK%20STREET,8623,SELKIRK ST,1,31,Marpole,49.20821592,-123.13369053,Residential,6078000.0,1965
87980,Fred West Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=8741&street=SELKIRK%20STREET,8741,SELKIRK ST,3,18,Marpole,49.20626299,-123.13375327,Residential,4052000.0,1958
88160,KINGVIC HOLDING LTD.,http://app.vancouver.ca/RPS_Net/Default.aspx?num=4580&street=SIDNEY%20STREET,4580,SIDNEY ST,3,10,Kensington-Cedar Cottage,49.24462656,-123.06332183,Commercial,4315000.0,1970
88580,Quong Holdings Ltd & Glenn W Quong,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2930&street=SPRUCE%20STREET,2930,SPRUCE ST,2,16,Fairview,49.25940472,-123.128899,Residential,5800000.0,1958
88929,Hyung Kim & Ae Kim,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2502&street=ST.%20GEORGE%20STREET,2502,ST. GEORGE ST,1,12,Mount Pleasant,49.26218927,-123.09275874,Commercial,5230000.0,1991
88980,PHS Community Services Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1005&street=STATION%20STREET,1005,STATION ST,1,80,Strathcona,49.2756775,-123.09948683,Commercial,1.0,2010
89022,PHS Community Services Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1005&street=STATION%20STREET,1005,STATION ST,1,80,Strathcona,49.2756775,-123.09948683,Commercial,657000.0,2010
89281,1199248 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2266&street=TRINITY%20STREET,2266,TRINITY ST,1,20,Grandview-Woodland,49.28906098,-123.05812743,Residential,3834000.0,1968
89791,No 88 Taurus Ventures Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2155&street=TRIUMPH%20STREET,2155,TRIUMPH ST,1,37,Grandview-Woodland,49.28415652,-123.06035033,Residential,6294000.0,1978
89940,1220621 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1775&street=VENABLES%20STREET,1775,VENABLES ST,3,12,Grandview-Woodland,49.27690621,-123.06898832,Commercial,3216000.0,1972
90699,Hawthorne Charitable Foundation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1824&street=VENABLES%20STREET,1824,VENABLES ST,1,7,Grandview-Woodland,49.27636563,-123.06696161,Residential,1803000.0,1910
91263,Rosalee McRae & Brian Naphtali,http://app.vancouver.ca/RPS_Net/Default.aspx?num=910&street=VICTORIA%20DRIVE,910,VICTORIA DR,1,6,Grandview-Woodland,49.27643315,-123.06533946,Residential,1713000.0,1912
92454,John Engleman & Penelope Engleman,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1110&street=VICTORIA%20DRIVE,1110,VICTORIA DR,1,9,Grandview-Woodland,49.27458287,-123.06529432,Residential,3784000.0,1912
93821,1027787 BC Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=675&street=VICTORIA%20DRIVE,675,VICTORIA DR,2,7,Grandview-Woodland,49.27866687,-123.06590798,Residential,1985000.0,1954
95892,Thomas Chan,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2816&street=VICTORIA%20DRIVE,2816,VICTORIA DR,2,5,Kensington-Cedar Cottage,49.25920193,-123.06556134,Residential,1840000.0,1910
98505,Jordan Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1615&street=VINE%20STREET,1615,VINE ST,1,17,Kitsilano,49.27147712,-123.15784708,Residential,5568000.0,1955
99027,Jean Matheson,http://app.vancouver.ca/RPS_Net/Default.aspx?num=5450&street=VINE%20STREET,5450,VINE ST,3,69,Arbutus Ridge,49.23683173,-123.15946059,Residential,14447000.0,1964
99106,Yee Sun (Sandy) Chow & Siu Hing (Cecilla) Chow,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1622&street=VINE%20STREET,1622,VINE ST,2,8,Kitsilano,49.27146546,-123.1571472,Residential,2784000.0,1954
99410,Ajmer Singh Siddoo (Ajmer Siddoo),http://app.vancouver.ca/RPS_Net/Default.aspx?num=1755&street=VINE%20STREET,1755,VINE ST,2,11,Kitsilano,49.27021927,-123.15768183,Residential,2784000.0,1959
99716,Reliance Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=33&street=WATER%20STREET,33,WATER ST,1,58,Downtown,49.28389079,-123.10495459,Historical Area,10096000.0,2006
99849,Atira Women's Resource Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=122&street=WATER%20STREET,122,WATER ST,9,140,Downtown,49.28369274,-123.10703834,Historical Area,10605000.0,1911
100398,WL Apartments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=512&street=WOODLAND%20DRIVE,512,WOODLAND DR,1,15,Grandview-Woodland,49.27995895,-123.07227322,Residential,2918000.0,1961
100590,Pacific Northwest Ventures Co Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1209&street=WOODLAND%20DRIVE,1209,WOODLAND DR,2,6,Grandview-Woodland,49.27371091,-123.07368405,Residential,2265000.0,1978
100886,PY -1 Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1601&street=YEW%20STREET,1601,YEW ST,1,10,Kitsilano,49.27143843,-123.15547296,Commercial,8384000.0,1971
101199,Janet Wai Chun Li (Janet Li),http://app.vancouver.ca/RPS_Net/Default.aspx?num=5616&street=YEW%20STREET,5616,YEW ST,2,13,Arbutus Ridge,49.2354197,-123.1573473,Residential,3409000.0,1955
101657,York Street Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2275&street=YORK%20AVENUE,2275,YORK AVE,1,9,Kitsilano,49.27196887,-123.15672405,Residential,2784000.0,1957
101983,2425 York Nominee Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2425&street=YORK%20AVENUE,2425,YORK AVE,2,24,Kitsilano,49.27202683,-123.16041381,Residential,5568000.0,1965
102180,Yorkshire Place Apt Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2145&street=YORK%20AVENUE,2145,YORK AVE,1,43,Kitsilano,49.27193519,-123.15401504,Residential,10944000.0,1979
102825,Martin & Susan Sally,http://app.vancouver.ca/RPS_Net/Default.aspx?num=2366&street=YORK%20AVENUE,2366,YORK AVE,3,11,Kitsilano,49.27149415,-123.15889254,Residential,2784000.0,1960
103006,John Hernandez,http://app.vancouver.ca/RPS_Net/Default.aspx?num=3460&street=YUKON%20STREET,3460,YUKON ST,1,5,Riley Park,49.25417327,-123.11214974,Residential Inclusive,3145000.0,1912
